date,name,activity_type,distance_km,moving_time_min,pace_min_per_km,avg_heart_rate,elevation_gain_m
2024-03-30,Morning Run,Run,6.567,37.75,5.7484391655245926,171.4,37.7
2024-03-28,BYU evening swim with the bois,Swim,2.0574,63.0,30.62117235345582,,0.0
2024-03-27,Evening Run,Run,7.8228,49.46666666666667,6.323396567299007,157.8,24.9
2024-03-27,Diving and sprinting day 🏊🏽‍♂️,Swim,0.7772,30.0,38.60010293360782,,0.0
2024-03-26,Vasa Night Swim,Swim,1.5315999999999999,50.03333333333333,32.667363106119964,138.4,0.0
2024-03-25,Morning Swim,Swim,0.7315,44.416666666666664,60.719981772613345,115.1,0.0
2024-03-21,Evening Swim,Swim,1.8517000000000001,72.4,39.09920613490306,139.5,0.0
2024-03-20,Afternoon Run,Run,4.6287,32.0,6.913388208352237,155.9,26.8
2024-03-20,BYU swim class,Swim,0.9372999999999999,40.96666666666667,43.70710195952915,135.6,0.0
2024-03-18,Quick morning swim,Swim,0.823,30.65,37.24179829890644,,0.0
2024-03-16,Morning Run with the boys (and Ashley),Run,9.895700000000001,56.166666666666664,5.675865948509621,166.6,24.7
2024-03-14,Night swim,Swim,1.5545,55.8,35.8957864265037,,0.0
2024-03-13,Morning swim,Swim,0.7323,21.0,28.67677181482999,,0.0
2024-03-12,Late swimming sesh,Swim,1.3493,39.0,28.903876083895355,,0.0
2024-03-09,Morning Run,Run,8.791,47.55,5.408940962347855,171.7,80.8
2024-03-08,Night Swim,Swim,0.0,8.45,,92.4,0.0
2024-03-07,Morning Run,Run,6.214,34.96666666666667,5.625631366350068,158.3,12.7
2024-03-06,Drills & Kicks,Swim,0.6858,29.483333333333334,42.98675949762271,128.4,0.0
2024-03-05,Evening Ride,Ride,0.0,48.81666666666667,,139.1,0.0
2024-03-04,Afternoon Run,Run,3.951,22.3,5.641278368199108,154.7,7.9
2024-03-03,Morning Swim,Swim,1.0668,38.166666666666664,35.78464577994692,136.2,0.0
2024-03-02,Lunch Run,Run,8.102,45.083333333333336,5.568678820271101,165.9,21.4
2024-03-01,Night Walk,Walk,2.423,38.733333333333334,15.97135740971326,90.2,41.1
2024-02-29,Technique Swim,Swim,0.5944,26.016666666666666,43.74916015961333,129.4,0.0
2024-02-28,Evening Run,Run,12.744,70.43333333333334,5.527515067101582,168.4,48.6
2024-02-27,Easy Ride,Ride,0.0,52.63333333333333,,134.6,0.0
2024-02-26,Afternoon Run,Run,4.882,27.183333333333334,5.568494393490646,161.9,9.3
2024-02-25,Endurance Swim,Swim,1.3716,48.36666666666667,35.25901895926928,142.7,0.0
2024-02-24,Morning Run,Run,10.391,56.166666666666664,5.40542892265807,170.1,33.8
